STUDENTID,COURSENAMEENG,SUBGROUP,MAINGROUP
6310711,Computer Programming,Core Course,Specific Required Course
6310711,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310711,Human and Computer Interaction,Core Course,Specific Required Course
6310711,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310711,Object-Oriented Programming,Core Course,Specific Required Course
6310711,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310711,English 2,Language Course,General Education Course 
6310711,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310711,Probability and Statistics,Core Course,Specific Required Course
6310711,Science for Life,Science and Mathematics Course,General Education Course 
6310711,Data Communications and Networks,Major Required Course,Specific Required Course
6310711,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310711,Introduction to Economics,Social Science Course,General Education Course 
6310711,ASEAN Studies,Social Science Course,General Education Course 
6310711,Organization and Management,Social Science Course,General Education Course 
6310711,Database Systems,Major Required Course,Specific Required Course
6310711,Data Structures and Algorithms,Major Required Course,Specific Required Course
6310711,Industrial Management,Major Required Course,Specific Required Course
6310711,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6310711,Information Technology Project Management,Major Required Course,Specific Required Course
6310711,System Analysis and Design,Major Required Course,Specific Required Course
6310711,Seminar,Major Required Course,Specific Required Course
6310711,Business Modeling and Simulation,Major Required Course,Specific Required Course
6310711,English 2,Language Course,General Education Course 
6310711,Web Programming,Core Course,Specific Required Course
6310711,Management Information Systems,Major Required Course,Specific Required Course
6310711,Information Security,Core Course,Specific Required Course
6310711,Senior Project 1,Major Required Course,Specific Required Course
6310711,Information Technology Service Management,Major Required Course,Specific Required Course
6310711,Information Technology Entrepreneurship,Major Required Course,Specific Required Course
6310711,English 2,Language Course,General Education Course 
6310711,Business Information System Design,Major Required Course,Specific Required Course
6310711,English 3,Language Course,General Education Course 
6310711,Web Design and Development,Major Elective Course,Specific Required Course
6310711,Mobile Programming,Major Elective Course,Specific Required Course
6310711,Digital Marketing,Major Required Course,Specific Required Course
6310711,Spa Therapy,Major Elective Course,Major Elective Course
6310711,Principles of Crop Produces,Major Elective Course,Major Elective Course
6310711,Senior Project 2,Major Required Course,Specific Required Course
6310711,Co-operative Education,Major Required Course,Specific Required Course
6310911,Information Technology Workshop 1,Major Required Course,Specific Required Course
6310911,Intensive English,Major Elective Course,Major Elective Course
6310911,Computer Programming,Core Course,Specific Required Course
6310911,Mathematics for Information Technology 1,Core Course,Specific Required Course
6310911,Thai Language Skills,Language Course,General Education Course 
6310911,Basic Information Technology,Science and Mathematics Course,General Education Course 
6310911,Mathematics for Information Technology 2,Core Course,Specific Required Course
6310911,Human and Computer Interaction,Core Course,Specific Required Course
6310911,Selected Topics in Information Technology 1,Major Elective Course,Specific Required Course
6310911,Object-Oriented Programming,Core Course,Specific Required Course
6310911,Creative Thinking and Inquiry Skills for Everyday Use,Humanities Course,General Education Course 
6310911,Introduction to Economics,Social Science Course,General Education Course 
6310911,ASEAN Studies,Social Science Course,General Education Course 
6310911,Data Communications and Networks,Major Required Course,Specific Required Course
6310911,Probability and Statistics,Core Course,Specific Required Course
6310911,Science for Life,Science and Mathematics Course,General Education Course 
6310911,English 2,Language Course,General Education Course 
6310911,Information Technology Workshop 2,Major Required Course,Specific Required Course
6310911,Introduction to Economics,Social Science Course,General Education Course 
6310911,Mathematical Logic and Proof Techniques,Core Course,Specific Required Course
6310911,English 2,Language Course,General Education Course 
6310911,Data Structures and Algorithms,Major Required Course,Specific Required Course
